признак,mean_human,mean_ai,r_pb,cliff_d,p,p_fdr,эффект
avg_subordinate_chain_len,1.1547968711463203,1.1621302723573521,0.023379697099318572,0.04710577777777778,0.023552728891777768,0.03051902898652894,нет
dep_dist_nummod,0.5946206313454993,0.5304024821360713,-0.03696466466821291,-0.03952088888888889,0.04713055809544223,0.06022237978862063,нет
avg_prepositional_chain_len,1.222121905922202,1.2069110194001766,-0.041376390793466625,-0.03807911111111111,0.06991760148719457,0.08596635563371935,нет
dep_dist_xcomp,0.5768205900610328,0.5215965800349494,-0.04702775373690551,-0.03731511111111111,0.07008126817966251,0.08596635563371935,нет
avg_links_len,3.315609849196222,3.2951562122901867,-0.016054805142301794,-0.033584,0.11121792248577364,0.13463222195646282,нет
obj_post,99.00785051231753,99.53340992340992,0.043369173276730635,0.03269422222222222,1.3933181994982865e-06,2.5637054870768473e-06,нет
dep_dist_iobj,0.02718579703413647,0.01154682976159106,-0.0753253661235192,-0.029323111111111112,4.200837137645857e-05,7.156981790063312e-05,нет
upos_dist_PROPN,3.9717918371419874,4.072464563402321,0.013993175222044976,0.028548,0.17544111550139407,0.2096179561834838,нет
n_tokens,228.25266666666667,222.726,-0.03746714228486338,-0.027814666666666668,0.187122438214685,0.22070851686860282,нет
upos_dist_SCONJ,1.1921796307089056,1.2061540294978734,0.008433156947469676,0.02733288888888889,0.19457715141476561,0.22659617633111945,нет
dep_dist_flat,0.3826914867444912,0.35020242095721793,-0.02177122738524193,-0.023062666666666665,0.19906560494225178,0.22892544568358955,нет
dep_dist_case,10.362007676486842,10.270908843805485,-0.019078424424237204,-0.015886666666666667,0.4511941847707688,0.5062178658403748,нет
verbs_tense_dist_Past,32.94678811797312,32.54991921800917,-0.014012063264730881,-0.01256488888888889,0.5512152310041736,0.5999607961906054,нет
dep_dist_obl,4.014404702619422,4.039414455637533,0.008769309077224037,0.012468444444444445,0.5543116051761028,0.5999607961906054,нет
avg_max_links_len,16.18860982245919,15.84982053964554,-0.03146395022352781,-0.011377777777777778,0.5894792022349283,0.6306056582048071,нет
upos_dist_X,0.7403767049121677,0.770560036674674,0.008090444422254124,0.010079111111111112,0.5381695353807747,0.596525268132907,нет
upos_dist_INTJ,0.008100629232738233,0.004651185823122235,-0.027587000664644836,-0.007303111111111111,0.07003458736274652,0.08596635563371935,нет
n_prepositional_chains,1.5192030655407223,1.4846656056906056,-0.030556633391126325,-0.007076444444444444,0.7370101779002483,0.7793670846761246,нет
dep_dist_appos,0.9111767901472692,0.919836279708067,0.005234833145382723,0.006588,0.7531901350649881,0.7810283486534217,нет
n_sentences,7.309333333333333,7.240666666666667,-0.013052793236475561,0.006513777777777778,0.7555600329364623,0.7810283486534217,нет
upos_dist_NUM,3.536535587989483,3.497616548326271,-0.008910376000865878,-0.0035302222222222224,0.8670482291629493,0.8863159675887926,нет
verbs_person_dist_2,0.03681634713074638,0.013789971829187515,-0.02371416252904582,-0.0026675555555555554,0.283924786760279,0.32248247385118106,нет
dep_dist_nmod,5.651766594886918,5.620335974987005,-0.008062104707511718,0.0017813333333333333,0.9326898843593265,0.9429392237478906,нет
verbs_voice_dist_Pass,22.677611392652462,22.698899569736824,0.001076455990928604,-0.0006484444444444444,0.9754806350925613,0.9754806350925613,нет
